title,provider,category,difficulty,cost,duration_hours,language,source,fetched_at
Getting started with the Vertex AI Gemini 1.5 Pro Model,Coursera,Programming,Intermediate,0.0,1.0,English,Coursera-API,2026-05-14T21:27:30.555852
SPSS: Apply & Interpret Logistic Regression Models,Coursera,Programming,Intermediate,0.0,0.0,English,Coursera-API,2026-05-14T21:27:30.555863
Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,Coursera,Programming,Intermediate,0.0,1.0,English,Coursera-API,2026-05-14T21:27:30.555868
Intégrer des applications dans votre Dashboard Hootsuite,Coursera,Programming,Intermediate,0.0,2.0,French,Coursera-API,2026-05-14T21:27:30.555872
Overcoming  Challenges in Self and Society,Coursera,Programming,Intermediate,0.0,4.0,English,Coursera-API,2026-05-14T21:27:30.555876
كيفية استعمال التطبيق هووتسويت,Coursera,Programming,Intermediate,0.0,2.0,Other,Coursera-API,2026-05-14T21:27:30.555883
Gamification,Coursera,Programming,Intermediate,0.0,4.0,English,Coursera-API,2026-05-14T21:27:30.555886
CompTIA Cybersecurity Analyst (CySA+) CS0-003: Unit 2,Coursera,Programming,Intermediate,0.0,4.0,English,Coursera-API,2026-05-14T21:27:30.555890
Dealing With Missing Data,Coursera,Programming,Intermediate,0.0,4.0,English,Coursera-API,2026-05-14T21:27:30.555893
Unordered Data Structures,Coursera,Programming,Intermediate,0.0,0.0,English,Coursera-API,2026-05-14T21:27:30.555896
Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,Coursera,Programming,Intermediate,0.0,1.5,English,Coursera-API,2026-05-14T21:27:30.555899
Vital Signs: Understanding What the Body Is Telling Us,Coursera,Programming,Intermediate,0.0,3.0,English,Coursera-API,2026-05-14T21:27:30.555902
FinTech Disruptive Innovation: Implications for Society,Coursera,Programming,Intermediate,0.0,4.0,English,Coursera-API,2026-05-14T21:27:30.555907
Develop Code with Gemini in BigQuery,Coursera,Programming,Intermediate,0.0,1.0,English,Coursera-API,2026-05-14T21:27:30.555911
The Linux Essentials,Coursera,Programming,Intermediate,0.0,0.0,English,Coursera-API,2026-05-14T21:27:30.555913
Get Started with iOS App Development,Coursera,Programming,Intermediate,0.0,5.0,English,Coursera-API,2026-05-14T21:27:30.555916
Create Amazing Macros in Affinity Photo,Coursera,Programming,Intermediate,0.0,0.0,English,Coursera-API,2026-05-14T21:27:30.555919
Inteligencia Artificial Generativa para Docentes,Coursera,Programming,Intermediate,0.0,0.0,Spanish,Coursera-API,2026-05-14T21:27:30.555921
"Inventory Management: Analyze, Optimize & Control",Coursera,Programming,Intermediate,0.0,0.0,English,Coursera-API,2026-05-14T21:27:30.555924
Modern Art & Ideas,Coursera,Programming,Intermediate,0.0,4.0,English,Coursera-API,2026-05-14T21:27:30.555927
Svelte Radio,Kevin Åberg Kultalahti,Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.844997
EOS Network Foundation,EOS Network Foundation,Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845014
React Round Up,Charles M Wood,Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845019
DevCast,Developer Student Clubs Loyola,Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845024
API The Docs Podcast,API The Docs,Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845028
Rabbit Hole Radio with Host Popeye,KGRA Digital Broadcasting,Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845032
The Thileban Audio Experience,Thileban Nagarasa,Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845038
Web Tools Radio,Dave Jackson,Business,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845041
Learning Machines 101,"Richard M. Golden, Ph.D., M.S.E.E., B.S.E.E.",Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845045
Make Money Making Videos Experience,Jack Cole,Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845050
"Intentional Teaching, a show about teaching in higher education",Derek Bruff,Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845055
All Jupiter Broadcasting Shows,Jupiter Broadcasting,Other,Beginner,0.0,5.0,English,iTunes-API,2026-05-14T21:27:30.845060
BSD Now Video Feed,Allan Jude,Other,Beginner,0.0,5.0,English,iTunes-API,2026-05-14T21:27:30.845063
BSD Now,JT Pennington,Other,Beginner,0.0,0.0,English,iTunes-API,2026-05-14T21:27:30.845067
Ai Engineering From Scratch,rohitg00,Data Science,Intermediate,0.0,15.0,English,GitHub-API,2026-05-14T21:27:31.808680
Python For Absolute Beginners Course,talkpython,Programming,Intermediate,0.0,5.0,English,GitHub-API,2026-05-14T21:27:31.808693
Pycadl,pkmital,Data Science,Intermediate,0.0,1.0,English,GitHub-API,2026-05-14T21:27:31.808697
30 Days Of Python 3.6,codingforentrepreneurs,Programming,Intermediate,0.0,1.0,English,GitHub-API,2026-05-14T21:27:31.808702
Data Driven Web Apps With Pyramid And Sqlalchemy,talkpython,Programming,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808707
